HH,DAY,TOWN,YEARS,SEX,AGE,STATUS,EDUC,DISABLED,HEAD,SEX_HH,AGE_HH,STATUS_HH,EDUC_HH,DISABLED_HH,AGE_HH_SPOUSE,EDUC_HH_SPOUSE,DISABLED_HH_SPOUSE,HH_SIZE,N_ADULTS,PRIMARY_WS,SUFFICIENT_WATER,TOTAL_TIME,PAY_WATER,TOTAL_COST,ELECTRIC,TOTAL_INCOME,TIME_LENGTH
1,8,0,8,0,43,2,4,0,1,0,43,2,4,0,29,4,0,4,2,2,1,0,0,0,1,NA,32
2,8,0,26,0,38,1,2,0,1,0,38,1,2,0,30,3,1,5,2,3,0,15,1,450,1,4000,75
3,8,0,16,0,44,1,5,0,1,0,44,1,5,0,32,4,0,7,3,2,0,0,1,600,1,18208.33333,79
4,8,0,30,0,79,0,3,0,1,0,79,0,3,0,9998,9998,9998,5,2,2,0,0,1,300,1,1500,65
5,9,0,30,0,57,1,4,0,1,0,57,1,4,0,50,3,0,5,4,2,1,0,0,0,1,NA,82
6,10,0,2,0,34,2,2,0,1,0,34,2,2,0,33,2,0,2,2,4,0,11,0,0,1,4600,54
7,10,0,12,0,39,1,4,0,1,0,39,1,4,0,38,3,0,5,2,2,1,0,1,250,1,NA,55
8,10,0,20,0,34,1,9999,0,1,0,34,1,9999,0,34,0,1,7,3,4,1,7,1,400,1,NA,69
9,10,0,1,0,9999,1,9999,0,1,0,9999,1,9999,0,27,1,0,7,2,2,1,0,1,465,1,NA,51
10,10,0,14,0,9999,2,3,0,1,0,9999,2,3,0,NA,NA,NA,7,3,4,0,20,0,0,1,NA,64
11,10,0,10,0,45,1,3,0,1,0,45,1,3,0,38,9999,0,8,5,4,1,12,1,210,1,NA,50
12,10,0,14,0,34,2,3,0,1,0,34,2,3,0,27,3,0,7,4,4,0,24,1,365,1,NA,59
13,10,0,26,0,42,1,9999,0,1,0,42,1,9999,0,30,2,0,6,3,4,1,23,1,24,1,NA,60
14,10,0,10,0,32,2,9999,0,1,0,32,2,9999,0,28,1,0,5,3,4,1,35,1,240,1,NA,44
15,10,0,1,0,9999,1,3,0,1,0,9999,1,3,0,24,0,0,6,1,3,1,25,1,365,1,NA,37
1,12,0,23,1,43,1,4,0,0,0,48,1,4,0,43,4,0,7,5,2,1,0,1,324,1,NA,38
